City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,25.86,76,5,7.5,PF,1675538226
1,vaini,-21.2,-175.2,27.09,89,20,4.63,TO,1675538228
2,huilong,31.8111,121.655,3.29,80,100,2.76,CN,1675538228
3,hithadhoo,-0.6,73.0833,27.38,73,100,7.23,MV,1675538229
4,cidreira,-30.1811,-50.2056,25.02,70,86,5.22,BR,1675538229
5,kruisfontein,-34.0033,24.7314,21.99,70,100,3.38,ZA,1675538230
6,omboue,-1.5746,9.2618,26.1,85,98,2.85,GA,1675538230
7,saint-philippe,-21.3585,55.7679,25.77,87,97,4.69,RE,1675538230
8,chokurdakh,70.6333,147.9167,-33.7,99,58,3.61,RU,1675538231
9,bredasdorp,-34.5322,20.0403,22.0,83,0,0.32,ZA,1675538231
10,qaanaaq,77.484,-69.3632,-18.33,65,100,2.58,GL,1675538232
11,hermanus,-34.4187,19.2345,19.89,93,5,3.54,ZA,1675538232
12,kaitangata,-46.2817,169.8464,20.88,67,100,2.12,NZ,1675538232
13,albert town,18.2943,-77.5424,24.28,49,43,3.31,JM,1675538233
14,shirokiy,49.758,129.523,-20.58,99,99,1.3,RU,1675538233
15,ushuaia,-54.8,-68.3,12.81,50,0,1.03,AR,1675538234
16,aklavik,68.2191,-135.0107,-40.0,67,20,1.03,CA,1675538234
17,leningradskiy,69.3833,178.4167,-33.01,99,100,2.08,RU,1675538235
18,betare oya,5.6,14.0833,26.25,19,23,2.14,CM,1675538235
19,mar del plata,-38.0023,-57.5575,24.9,65,0,7.72,AR,1675538139
20,doha,25.2867,51.5333,17.99,46,0,2.57,QA,1675538153
21,norman wells,65.282,-126.8329,-26.98,63,75,1.03,CA,1675538236
22,upernavik,72.7868,-56.1549,-21.3,96,100,3.38,GL,1675538237
23,nikolskoye,59.7035,30.7861,-2.06,92,100,3.85,RU,1675538237
24,guerrero negro,27.9769,-114.0611,20.13,39,0,3.34,MX,1675538238
25,mont-joli,48.5839,-68.1921,-20.39,83,7,10.39,CA,1675538238
26,dikson,73.5069,80.5464,-21.55,98,100,1.33,RU,1675538240
27,westport,41.1415,-73.3579,-6.78,31,75,2.57,US,1675538241
28,longyearbyen,78.2186,15.6401,-11.09,67,0,6.17,SJ,1675538241
29,saskylakh,71.9167,114.0833,-43.73,100,69,1.11,RU,1675538242
30,heihe,50.2441,127.4902,-26.45,100,83,1.76,CN,1675537971
31,busselton,-33.65,115.3333,23.45,46,99,3.45,AU,1675538242
32,cherskiy,68.75,161.3,-37.34,100,89,2.49,RU,1675538243
33,khatanga,71.9667,102.5,-38.73,100,54,2.22,RU,1675538244
34,lebu,-37.6167,-73.65,19.62,76,49,5.45,CL,1675538244
35,kayerkan,69.3497,87.7602,-10.82,92,100,2.19,RU,1675538244
36,port alfred,-33.5906,26.891,23.99,87,100,2.68,ZA,1675538245
37,yellowknife,62.456,-114.3525,-27.71,63,75,1.03,CA,1675538245
38,lorengau,-2.0226,147.2712,27.08,72,100,1.48,PG,1675538246
39,solnechnyy,50.7214,136.6319,-25.54,98,96,1.31,RU,1675538246
40,ishigaki,24.3448,124.1572,21.07,78,100,4.12,JP,1675538247
41,moshupa,-24.7782,25.4155,22.19,77,99,2.25,BW,1675538247
42,port blair,11.6667,92.75,26.02,89,40,1.03,IN,1675538247
43,dwarka,22.2394,68.9678,20.96,60,96,4.07,IN,1675538248
44,kushiro,42.975,144.3747,-10.51,88,32,1.82,JP,1675538248
45,fairbanks,64.8378,-147.7164,-12.02,79,100,1.54,US,1675538249
46,baghdad,33.3406,44.4009,11.95,50,0,5.66,IQ,1675538140
47,punta arenas,-53.15,-70.9167,10.06,93,100,5.66,CL,1675538249
48,buchanan,5.8808,-10.0467,26.88,81,36,3.28,LR,1675538250
49,maldonado,-34.6667,-54.9167,23.66,59,15,9.15,UY,1675538006
50,east london,-33.0153,27.9116,24.53,79,100,8.42,ZA,1675538250
51,novikovo,51.1537,37.8879,-3.31,95,98,3.55,RU,1675538251
52,hilo,19.7297,-155.09,22.93,91,100,4.63,US,1675538001
53,crateus,-5.1783,-40.6775,36.04,22,66,4.63,BR,1675538251
54,ponta do sol,32.6667,-17.1,17.35,63,5,4.12,PT,1675538252
55,atuona,-9.8,-139.0333,25.7,77,7,8.16,PF,1675538109
